"source_system","schema_name","table_name","column_name","data_type","nullable","description","sample_values"
"ehr","raw_healthcare","patients","patient_id","varchar","false","Internal patient business identifier","PAT-1001|PAT-1002"
"ehr","raw_healthcare","patients","patient_mrn","varchar","false","Medical record number","MRN-88391|MRN-88392"
"ehr","raw_healthcare","patients","ssn","varchar","true","Social Security number","***-**-1234"
"ehr","raw_healthcare","patients","date_of_birth","date","true","Patient date of birth","1984-03-14"
"ehr","raw_healthcare","patients","email","varchar","true","Patient email","patient@example.com"
"ehr","raw_healthcare","patients","phone","varchar","true","Patient phone number","555-0100"
"ehr","raw_healthcare","patients","address_line_1","varchar","true","Patient street address","100 Main St"
"ehr","raw_healthcare","patients","city","varchar","true","Patient city","Chicago"
"ehr","raw_healthcare","patients","state","varchar","true","Patient state","IL"
"ehr","raw_healthcare","patients","zip_code","varchar","true","Patient ZIP code","60601"
"ehr","raw_healthcare","patients","patient_status","varchar","true","Active or inactive patient status","active|inactive"
"ehr","raw_healthcare","patients","updated_at","timestamp","false","Last source update timestamp","2026-01-04T10:31:00Z"
"ehr","raw_healthcare","encounters","encounter_id","varchar","false","Encounter visit identifier","ENC-7001"
"ehr","raw_healthcare","encounters","patient_id","varchar","false","Patient attached to the encounter","PAT-1001"
"ehr","raw_healthcare","encounters","provider_id","varchar","false","Rendering provider","PRV-300"
"ehr","raw_healthcare","encounters","department_id","varchar","true","Clinical department","DEP-CARD"
"ehr","raw_healthcare","encounters","encounter_type","varchar","true","Visit type","office_visit"
"ehr","raw_healthcare","encounters","encounter_status","varchar","true","Encounter lifecycle status","closed"
"ehr","raw_healthcare","encounters","admit_datetime","timestamp","true","Admission timestamp","2026-01-02T08:00:00Z"
"ehr","raw_healthcare","encounters","discharge_datetime","timestamp","true","Discharge timestamp","2026-01-02T12:30:00Z"
"ehr","raw_healthcare","providers","provider_id","varchar","false","Provider business identifier","PRV-300"
"ehr","raw_healthcare","providers","department_id","varchar","true","Provider department","DEP-CARD"
"ehr","raw_healthcare","providers","npi","varchar","true","National Provider Identifier","1234567890"
"ehr","raw_healthcare","providers","provider_name","varchar","true","Provider full name","Dr. Avery Patel"
"ehr","raw_healthcare","providers","specialty","varchar","true","Provider specialty","Cardiology"
"ehr","raw_healthcare","departments","department_id","varchar","false","Department business identifier","DEP-CARD"
"ehr","raw_healthcare","departments","department_name","varchar","true","Department display name","Cardiology"
"ehr","raw_healthcare","departments","facility_name","varchar","true","Facility name","North Campus"
"claims","raw_healthcare","claims","claim_id","varchar","false","Claim business identifier","CLM-9001"
"claims","raw_healthcare","claims","patient_id","varchar","false","Claim patient","PAT-1001"
"claims","raw_healthcare","claims","encounter_id","varchar","true","Related encounter","ENC-7001"
"claims","raw_healthcare","claims","payer_id","varchar","false","Responsible payer","PAY-22"
"claims","raw_healthcare","claims","claim_status","varchar","true","Claim lifecycle status","submitted|paid"
"claims","raw_healthcare","claims","total_charge_amount","number","true","Total billed charge","500.00"
"claims","raw_healthcare","claims","allowed_amount","number","true","Allowed amount","370.00"
"claims","raw_healthcare","claims","paid_amount","number","true","Paid amount","310.00"
"claims","raw_healthcare","claim_lines","claim_line_id","varchar","false","Claim line business identifier","CLM-9001-1"
"claims","raw_healthcare","claim_lines","claim_id","varchar","false","Parent claim","CLM-9001"
"claims","raw_healthcare","claim_lines","diagnosis_code","varchar","true","ICD diagnosis code","I10"
"claims","raw_healthcare","claim_lines","procedure_code","varchar","true","CPT procedure code","99213"
"claims","raw_healthcare","claim_lines","line_charge_amount","number","true","Line charge amount","250.00"
"claims","raw_healthcare","diagnoses","diagnosis_code","varchar","false","ICD diagnosis code","I10"
"claims","raw_healthcare","diagnoses","diagnosis_description","varchar","true","Diagnosis description","Essential hypertension"
"claims","raw_healthcare","procedures","procedure_code","varchar","false","CPT procedure code","99213"
"claims","raw_healthcare","procedures","procedure_description","varchar","true","Procedure description","Office outpatient visit"
"claims","raw_healthcare","payers","payer_id","varchar","false","Payer business identifier","PAY-22"
"claims","raw_healthcare","payers","payer_name","varchar","true","Payer name","Acme Health Plan"
"claims","raw_healthcare","payers","payer_type","varchar","true","Commercial, Medicare, Medicaid, or self-pay","commercial"
