"source_system","schema_name","table_name","column_name","data_type","nullable","description","sample_values"
"benefits","raw_benefits","employers","employer_id","varchar","false","Employer business identifier","EMP-100|EMP-200"
"benefits","raw_benefits","employers","employer_name","varchar","true","Employer or client company name","Northwind Traders"
"benefits","raw_benefits","employers","industry","varchar","true","Employer industry category","manufacturing"
"benefits","raw_benefits","employers","employee_count_band","varchar","true","Non-identifying employee count range","1000-4999"
"benefits","raw_benefits","benefit_plans","benefit_plan_id","varchar","false","Employer healthcare benefit plan identifier","PLAN-2026-PCUC"
"benefits","raw_benefits","benefit_plans","employer_id","varchar","false","Employer that sponsors the benefit plan","EMP-100"
"benefits","raw_benefits","benefit_plans","plan_name","varchar","true","Benefit plan display name","Primary and Urgent Care Access"
"benefits","raw_benefits","benefit_plans","plan_year","number","false","Plan year","2026"
"benefits","raw_benefits","benefit_plans","plan_status","varchar","true","Benefit plan lifecycle status","active"
"benefits","raw_benefits","benefit_services","benefit_service_id","varchar","false","Covered service identifier","SVC-PC|SVC-UC"
"benefits","raw_benefits","benefit_services","service_category","varchar","false","Covered healthcare service category","primary_care|urgent_care"
"benefits","raw_benefits","benefit_services","service_description","varchar","true","Description of the covered service","Primary care office visit"
"benefits","raw_benefits","benefit_services","is_virtual_allowed","boolean","true","Whether virtual care is supported for the service","true|false"
"benefits","raw_benefits","plan_service_coverage","plan_service_coverage_id","varchar","false","Plan-to-service coverage identifier","COV-1001"
"benefits","raw_benefits","plan_service_coverage","benefit_plan_id","varchar","false","Benefit plan with service coverage","PLAN-2026-PCUC"
"benefits","raw_benefits","plan_service_coverage","benefit_service_id","varchar","false","Covered service on the benefit plan","SVC-PC"
"benefits","raw_benefits","plan_service_coverage","copay_amount","number","true","Member copay amount for the covered service","25.00"
"benefits","raw_benefits","plan_service_coverage","coinsurance_rate","number","true","Member coinsurance rate for the covered service","0.10"
"benefits","raw_benefits","plan_service_coverage","coverage_status","varchar","true","Coverage lifecycle status","active"
"benefits","raw_benefits","members","member_id","varchar","false","De-identified member business identifier","MBR-7001"
"benefits","raw_benefits","members","employer_id","varchar","false","Employer associated with the member","EMP-100"
"benefits","raw_benefits","members","benefit_plan_id","varchar","false","Benefit plan selected by the member","PLAN-2026-PCUC"
"benefits","raw_benefits","members","member_type","varchar","true","Employee or dependent category","employee"
"benefits","raw_benefits","members","eligibility_status","varchar","true","Member eligibility status","active"
"benefits","raw_benefits","members","coverage_start_month","date","true","Month-level coverage start date","2026-01-01"
"care_network","raw_benefits","care_companies","care_company_id","varchar","false","Primary care or urgent care company identifier","CO-PRIMARY|CO-URGENT"
"care_network","raw_benefits","care_companies","care_company_name","varchar","true","Care delivery company name","Summit Primary Care"
"care_network","raw_benefits","care_companies","care_company_type","varchar","false","Type of care company","primary_care|urgent_care"
"care_network","raw_benefits","care_companies","network_status","varchar","true","Company network participation status","in_network"
"care_network","raw_benefits","care_locations","care_location_id","varchar","false","Care location identifier","LOC-100"
